,price,area,flat_type,locality,distance_prague_km,district,city
5782,21000,59,4+kk,Praha 10 - Záběhlice,7.521364867523051,Praha 10 - Záběhlice,Praha 10
5784,14000,48,3+kk,Praha 4 - Chodov,9.024633921812415,Praha 4 - Chodov,Praha 4
5785,14000,28,2+kk,Praha 4 - Michle,4.442502181444478,Praha 4 - Michle,Praha 4
5786,15000,51,3+kk,Praha 5 - Hlubočepy,6.934901799774921,Praha 5 - Hlubočepy,Praha 5
5787,11000,29,2+kk,Praha 10 - Strašnice,4.81183453881025,Praha 10 - Strašnice,Praha 10
5788,9000,26,2+kk,Praha 9 - Černý Most,10.718168874692177,Praha 9 - Černý Most,Praha 9
5790,7000,8,1+kk,Praha 9 - Čakovice,10.405529918413626,Praha 9 - Čakovice,Praha 9
5791,5000,7,other,Praha 9 - Horní Počernice,15.004316769800033,Praha 9 - Horní Počernice,Praha 9
5792,11000,11,1+kk,Praha 5 - Smíchov,2.299602835153925,Praha 5 - Smíchov,Praha 5
5793,41000,67,4+kk,Praha 2 - Nusle,3.4772496306432195,Praha 2 - Nusle,Praha 2
5794,13000,31,2+kk,Praha 3 - Žižkov,2.5226428363734574,Praha 3 - Žižkov,Praha 3
5795,11000,25,2+kk,Praha 8 - Kobylisy,4.727181020626673,Praha 8 - Kobylisy,Praha 8
5796,13000,31,2+kk,Praha 10 - Vršovice,3.9414620933580586,Praha 10 - Vršovice,Praha 10
5797,15000,38,2+1,Praha 9 - Vysočany,6.021265006962185,Praha 9 - Vysočany,Praha 9
5798,21000,55,3+kk,Praha 9 - Vysočany,6.00108162605845,Praha 9 - Vysočany,Praha 9
5799,17000,31,2+kk,Praha 8 - Libeň,4.253897890854968,Praha 8 - Libeň,Praha 8
5800,16000,29,2+kk,Praha 9 - Vysočany,6.621852705988683,Praha 9 - Vysočany,Praha 9
5801,13000,28,2+kk,Praha 6 - Řepy,8.273874563905302,Praha 6 - Řepy,Praha 6
5802,15000,29,2+kk,Praha 9 - Vysočany,7.876566904623905,Praha 9 - Vysočany,Praha 9
5803,15000,45,3+kk,Praha 10 - Uhříněves,13.775406589518129,Praha 10 - Uhříněves,Praha 10
5804,14000,35,2+1,Praha 2 - Nové Město,1.5154745042730313,Praha 2 - Nové Město,Praha 2
5805,10000,17,1+kk,Praha 10 - Záběhlice,5.811557451784082,Praha 10 - Záběhlice,Praha 10
5806,16000,37,3+kk,Praha 4 - Michle,4.81033805253205,Praha 4 - Michle,Praha 4
5807,22000,56,3+kk,Praha 5 - Smíchov,1.405558208598059,Praha 5 - Smíchov,Praha 5
5808,17000,49,3+kk,Praha 4 - Háje,9.764596322583605,Praha 4 - Háje,Praha 4
5809,17000,34,2+kk,Praha 9 - Vysočany,6.621852705988683,Praha 9 - Vysočany,Praha 9
5810,15000,31,2+kk,Praha 3 - Žižkov,3.4359512533278407,Praha 3 - Žižkov,Praha 3
5811,12000,34,2+kk,Praha 8 - Libeň,5.3695089075389415,Praha 8 - Libeň,Praha 8
5812,12000,26,2+kk,Praha 9 - Černý Most,11.056925930141867,Praha 9 - Černý Most,Praha 9
5813,15000,32,2+kk,Praha 9 - Vysočany,7.876566904623905,Praha 9 - Vysočany,Praha 9
5814,17000,39,2+kk,Praha 3 - Žižkov,3.058371012126842,Praha 3 - Žižkov,Praha 3
5815,11000,25,2+kk,Praha 6 - Střešovice,2.8556824027928225,Praha 6 - Střešovice,Praha 6
5816,11000,17,1+kk,Praha 3 - Žižkov,3.188170850090777,Praha 3 - Žižkov,Praha 3
5817,13000,21,1+kk,Praha 9 - Vysočany,6.621852705988683,Praha 9 - Vysočany,Praha 9
5818,13000,34,2+1,Praha 4 - Nusle,2.6626634390415407,Praha 4 - Nusle,Praha 4
5819,8000,19,1+kk,Praha 4 - Chodov,8.442948211495015,Praha 4 - Chodov,Praha 4
5820,17000,35,2+kk,Praha 3 - Strašnice,4.502075104530903,Praha 3 - Strašnice,Praha 3
5821,19000,34,2+kk,Praha 7 - Bubeneč,1.7985158002704615,Praha 7 - Bubeneč,Praha 7
5822,11000,19,1+kk,Praha 9 - Hloubětín,7.876566904623905,Praha 9 - Hloubětín,Praha 9
5823,12000,28,2+kk,Praha 5 - Hlubočepy,7.484798480385388,Praha 5 - Hlubočepy,Praha 5
5824,17000,29,2+kk,Praha 2 - Vinohrady,2.028834036319468,Praha 2 - Vinohrady,Praha 2
5825,15000,26,2+kk,Praha 5 - Smíchov,2.5049473158600333,Praha 5 - Smíchov,Praha 5
5826,10000,24,1+kk,Praha 8 - Libeň,5.09982226700185,Praha 8 - Libeň,Praha 8
5828,11000,25,1+kk,Praha 9 - Hloubětín,7.567813632053683,Praha 9 - Hloubětín,Praha 9
5829,11000,26,2+kk,Praha 4 - Nusle,3.160377512214577,Praha 4 - Nusle,Praha 4
5831,21000,48,3+1,Praha 10 - Strašnice,6.011915739263691,Praha 10 - Strašnice,Praha 10
5832,12000,25,1+kk,Praha 9 - Hloubětín,7.658661977188843,Praha 9 - Hloubětín,Praha 9
5834,13000,14,1+kk,Praha 2 - Nové Město,1.5130508143045773,Praha 2 - Nové Město,Praha 2
5835,22000,68,3+kk,Praha 9 - Vysočany,6.115906246891681,Praha 9 - Vysočany,Praha 9
